"","Species","Subplot","Tag","Site","dbh","Health_status","Canopy_status","Date","Notes","SubplotID","group","plotID","Latitude","Longitude","component","a","b","se","source","ref","leaf.mass","genus","fate","plot.side"
"1","FAGR",212,1663,"UMBS",0.8,"L","SA","07/04/2018","REDACT, under minimum DBH, NE veg plot","B01E","B","B01",45.5567368,-84.7264616,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",0.016194350208756,"Fagus","live","E"
"2","ACPE",212,1742,"UMBS",2.7,"L","UN","07/04/2018","NW veg plot","B01E","B","B01",45.5567376,-84.7266561,"FL",0.0049,2.094,NA,"","basswood",0.0392167682887448,"Acer","live","E"
"3","FAGR",212,1741,"UMBS",2.4,"L","UN","07/04/2018","NW veg plot","B01E","B","B01",45.5567444,-84.7266787,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",0.0970988996479095,"Fagus","live","E"
"4","QURU",212,1680,"UMBS",2.7,"L","UN","07/04/2018","SE veg plot","B01E","B","B01",45.5566124,-84.7265221,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",0.203645826550334,"Quercus","live","E"
"5","POGR",212,1714,"UMBS",10.7,"L","OS","07/04/2018","","B01E","B","B01",45.5567048,-84.7267169,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",0.593214637144931,"Populus","live","E"
"6","FAGR",212,1686,"UMBS",8.5,"L","UN","07/04/2018","","B01E","B","B01",45.5566548,-84.7264823,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",0.763110792312719,"Fagus","live","E"
"7","ACRU",212,1722,"UMBS",7.9,"L","OS","07/04/2018","REDACT, under minimum DBH","B01E","B","B01",45.5567443,-84.7267182,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",0.899610575897398,"Acer","live","E"
"8","FAGR",212,1657,"UMBS",9.6,"L","UN","07/04/2018","reading taken above DBH","B01E","B","B01",45.5568202,-84.7265091,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",0.930577852544634,"Fagus","live","E"
"9","QURU",212,1744,"UMBS",7.8,"L","OS","07/04/2018","REDACT, under minimum DBH","B01E","B","B01",45.5567529,-84.7266253,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",0.95332039505676,"Quercus","live","E"
"10","ACRU",212,1720,"UMBS",8.4,"L","OS","07/04/2018","","B01E","B","B01",45.5567189,-84.7267059,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",0.988778312842163,"Acer","live","E"
"11","ACRU",212,1733,"UMBS",8.7,"L","OS","07/04/2018","","B01E","B","B01",45.5567651,-84.7267187,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.04368269073493,"Acer","live","E"
"12","ACRU",212,1735,"UMBS",9,"D","UN","07/04/2018","1735-1739 share base","B01E","B","B01",45.5567897,-84.7267075,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.09961915460115,"Acer","live","E"
"13","QURU",212,1654,"UMBS",8.7,"L","OS","07/04/2018","","B01E","B","B01",45.5567134,-84.7265552,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",1.11748512254914,"Quercus","live","E"
"14","ACRU",212,1717,"UMBS",9.1,"L","OS","07/04/2018","","B01E","B","B01",45.5567012,-84.7266887,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.11849121147078,"Acer","live","E"
"15","QURU",212,1656,"UMBS",8.9,"L","OS","07/04/2018","","B01E","B","B01",45.5567932,-84.7265008,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",1.15505774636836,"Quercus","live","E"
"16","ACRU",212,1670,"UMBS",9.7,"L","OS","07/04/2018","1670-1672 share base","B01E","B","B01",45.5567044,-84.7263994,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.23406291816607,"Acer","live","E"
"17","ACRU",212,1725,"UMBS",9.8,"L","OS","07/04/2018","1722-1725 share base","B01E","B","B01",45.5567463,-84.7267133,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.25370970677177,"Acer","live","E"
"18","ACRU",212,1659,"UMBS",10,"D","UN","07/04/2018","1659-1660 share base","B01E","B","B01",45.5568045,-84.7264416,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.29332845218794,"Acer","live","E"
"19","ACRU",212,1734,"UMBS",10.2,"D","UN","07/04/2018","","B01E","B","B01",45.5567851,-84.7267092,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.33337742001258,"Acer","live","E"
"20","ACRU",212,1677,"UMBS",10.3,"L","OS","07/04/2018","1677-1679 share base","B01E","B","B01",45.5566516,-84.7264584,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.35356201372611,"Acer","live","E"
"21","ACRU",212,1724,"UMBS",10.5,"L","OS","07/04/2018","1722-1725 share base","B01E","B","B01",45.5567416,-84.7267209,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.39424903435932,"Acer","live","E"
"22","ACRU",212,1736,"UMBS",10.6,"D","UN","07/04/2018","1735-1739 share base","B01E","B","B01",45.5567872,-84.7267101,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.41475052678069,"Acer","live","E"
"23","ACRU",212,1706,"UMBS",10.9,"L","OS","07/04/2018","1706-1708 share base","B01E","B","B01",45.5566795,-84.7268,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.47688146005833,"Acer","live","E"
"24","ACRU",212,1732,"UMBS",11,"L","OS","07/04/2018","","B01E","B","B01",45.5567515,-84.7267635,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.49779910572978,"Acer","live","E"
"25","TSCA",212,1703,"UMBS",8,"L","UN","07/04/2018","","B01E","B","B01",45.5566028,-84.7266353,"FL",0.0454,1.6829,0.28,"New Brunswick","ker 1980a",1.50267822078833,"Tsuga","live","E"
"26","ACRU",212,1746,"UMBS",11.1,"L","OS","07/04/2018","1746-1747 share base","B01E","B","B01",45.5568333,-84.726643,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.518819691525,"Acer","live","E"
"27","FAGR",212,1674,"UMBS",13,"L","OS","07/04/2018","1673-1674 share base","B01E","B","B01",45.5566906,-84.7263785,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",1.52551951719562,"Fagus","live","E"
"28","ACRU",212,1729,"UMBS",11.3,"D","OS","07/04/2018","read as outside plot at 18.13 m","B01E","B","B01",45.5567779,-84.7267665,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.56116797847633,"Acer","live","E"
"29","QURU",212,1711,"UMBS",11.5,"L","OS","07/04/2018","","B01E","B","B01",45.5567031,-84.7267989,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",1.67709087162405,"Quercus","live","E"
"30","ACRU",212,1723,"UMBS",12.3,"L","OS","07/04/2018","1722-1725 share base","B01E","B","B01",45.5567443,-84.7267218,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.77894574674723,"Acer","live","E"
"31","ACRU",212,1718,"UMBS",12.7,"L","OS","07/04/2018","","B01E","B","B01",45.5567061,-84.7266727,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.86881607913329,"Acer","live","E"
"32","ACRU",212,1708,"UMBS",12.7,"D","OS","07/04/2018","1706-1708 share base","B01E","B","B01",45.5566964,-84.7268029,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.86881607913329,"Acer","live","E"
"33","ACRU",212,1678,"UMBS",12.7,"L","OS","07/04/2018","1677-1679 share base","B01E","B","B01",45.5566516,-84.7264588,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.86881607913329,"Acer","live","E"
"34","ACRU",212,1671,"UMBS",12.9,"L","OS","07/04/2018","1670-1672 share base","B01E","B","B01",45.5567077,-84.7264015,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.91433079485192,"Acer","live","E"
"35","ACRU",212,1687,"UMBS",13,"L","OS","07/04/2018","","B01E","B","B01",45.5566259,-84.7265583,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.93723182189309,"Acer","live","E"
"36","ACRU",212,1660,"UMBS",13.2,"L","OS","07/04/2018","1659-1660 share base","B01E","B","B01",45.5568034,-84.7264419,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.98331951817638,"Acer","live","E"
"37","ACRU",212,1747,"UMBS",13.2,"L","OS","07/04/2018","1746-1747 share base, 1747 read as outside plot at 18.01 m","B01E","B","B01",45.5568384,-84.7266393,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.98331951817638,"Acer","live","E"
"38","ACRU",212,1661,"UMBS",13.7,"L","OS","07/04/2018","1661-1662 share base","B01E","B","B01",45.5567997,-84.7264478,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.10018960811505,"Acer","live","E"
"39","ACRU",212,1690,"UMBS",14,"L","OS","07/04/2018","","B01E","B","B01",45.5566422,-84.7265692,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.17143086549676,"Acer","live","E"
"40","ACRU",212,1701,"UMBS",14.1,"L","OS","07/04/2018","1699-1701 share base","B01E","B","B01",45.5565935,-84.7266433,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.19536262005056,"Acer","live","E"
"41","ACRU",212,1682,"UMBS",15,"L","OS","07/04/2018","1682-1683 share base","B01E","B","B01",45.5565248,-84.726624,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.41484561461407,"Acer","live","E"
"42","ACRU",212,1694,"UMBS",15.4,"L","OS","07/04/2018","1692-1694 share base","B01E","B","B01",45.5566273,-84.7265952,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.51472640456724,"Acer","live","E"
"43","ACRU",212,1683,"UMBS",15.7,"L","OS","07/04/2018","1682-1683 share base","B01E","B","B01",45.5565327,-84.7264955,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.59056382402401,"Acer","live","E"
"44","ACRU",212,1679,"UMBS",16.1,"D","UN","07/04/2018","1677-1679 share base","B01E","B","B01",45.5566481,-84.7264662,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.69290281866381,"Acer","live","E"
"45","ACRU",212,1699,"UMBS",16.3,"L","OS","07/04/2018","1699-1701 share base","B01E","B","B01",45.5565891,-84.7266419,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.74459168070685,"Acer","live","E"
"46","POGR",212,1743,"UMBS",21.2,"L","OD","07/04/2018","","B01E","B","B01",45.5567041,-84.7266089,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",2.81046284230341,"Populus","live","E"
"47","ACRU",212,1716,"UMBS",17,"L","OS","07/04/2018","","B01E","B","B01",45.556702,-84.7266896,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.92819618671585,"Acer","live","E"
"48","ACRU",212,1691,"UMBS",17,"L","OS","07/04/2018","","B01E","B","B01",45.5566782,-84.7265836,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.92819618671585,"Acer","live","E"
"49","FAGR",212,1673,"UMBS",19.8,"L","OS","07/04/2018","1673-1674 share base","B01E","B","B01",45.5567051,-84.7263847,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",3.0290691000855,"Fagus","live","E"
"50","ACRU",212,1739,"UMBS",18,"L","OS","07/04/2018","1735-1739 share base","B01E","B","B01",45.5567852,-84.7267036,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.19763206061813,"Acer","live","E"
"51","ACRU",212,1667,"UMBS",18.2,"L","OD","07/04/2018","1665-1668 share base","B01E","B","B01",45.5567094,-84.7265034,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.25251096468563,"Acer","live","E"
"52","ACRU",212,1684,"UMBS",18.6,"L","OS","07/04/2018","1684-1685 share base","B01E","B","B01",45.5565528,-84.7265624,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.36324701878833,"Acer","live","E"
"53","ACRU",212,1728,"UMBS",18.8,"L","OS","07/04/2018","","B01E","B","B01",45.5567592,-84.7267696,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.41910091860036,"Acer","live","E"
"54","ACRU",212,1658,"UMBS",18.8,"L","OD","07/04/2018","","B01E","B","B01",45.5568347,-84.7265222,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.41910091860036,"Acer","live","E"
"55","ACRU",212,1692,"UMBS",19.2,"L","OS","07/04/2018","1692-1694 share base","B01E","B","B01",45.5566316,-84.7265913,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.53177252758627,"Acer","live","E"
"56","ACRU",212,1731,"UMBS",19.7,"L","OS","07/04/2018","1730-1731 share base","B01E","B","B01",45.5567847,-84.72675,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.67440328007903,"Acer","live","E"
"57","ACRU",212,1666,"UMBS",20.2,"L","OS","07/04/2018","1665-1668 share base","B01E","B","B01",45.5567102,-84.7265104,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.81900248315768,"Acer","live","E"
"58","ACRU",212,1693,"UMBS",20.3,"L","OS","07/04/2018","1692-1694 share base","B01E","B","B01",45.5566297,-84.7265968,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.84815653742927,"Acer","live","E"
"59","ACRU",212,1737,"UMBS",21,"L","OS","07/04/2018","1735-1739 share base","B01E","B","B01",45.5567892,-84.726703,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.05439955651768,"Acer","live","E"
"60","QURU",212,1655,"UMBS",21.1,"L","OD","07/04/2018","","B01E","B","B01",45.5567987,-84.7265095,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.05575964668878,"Quercus","live","E"
"61","ACRU",212,1738,"UMBS",21.3,"L","OS","07/04/2018","1735-1739 share base","B01E","B","B01",45.5567895,-84.7267014,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.14393964180378,"Acer","live","E"
"62","ACRU",212,1726,"UMBS",22,"L","OS","07/04/2018","1726-1727 share base","B01E","B","B01",45.5567555,-84.7267197,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.35551747239608,"Acer","live","E"
"63","ACRU",212,1707,"UMBS",22.1,"L","OD","07/04/2018","1706-1708 share base","B01E","B","B01",45.5566841,-84.7268001,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.38604348652156,"Acer","live","E"
"64","ACRU",212,1662,"UMBS",22.3,"L","OS","07/04/2018","1661-1662 share base","B01E","B","B01",45.5567988,-84.7264544,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.44731939935359,"Acer","live","E"
"65","POGR",212,1669,"UMBS",26.1,"L","OD","07/04/2018","","B01E","B","B01",45.5567091,-84.7265011,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",4.51046085810164,"Populus","live","E"
"66","ACRU",212,1730,"UMBS",22.7,"L","OS","07/04/2018","1730-1731 share base","B01E","B","B01",45.5568066,-84.7267191,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.5707624605748,"Acer","live","E"
"67","ACRU",212,1700,"UMBS",23.3,"L","OS","07/04/2018","1699-1701 share base","B01E","B","B01",45.5565808,-84.7266253,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.75813708503259,"Acer","live","E"
"68","ACRU",212,1709,"UMBS",24.2,"L","OD","07/04/2018","1709-1710 share base","B01E","B","B01",45.5567133,-84.7267997,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",5.044109378487,"Acer","live","E"
"69","ACRU",212,1676,"UMBS",24.4,"L","OS","07/04/2018","","B01E","B","B01",45.5566294,-84.7264177,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",5.10845020441861,"Acer","live","E"
"70","QURU",212,1745,"UMBS",25,"L","OD","07/04/2018","","B01E","B","B01",45.5567751,-84.726636,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",5.19091538875945,"Quercus","live","E"
"71","POGR",212,1713,"UMBS",27.9,"L","OD","07/04/2018","","B01E","B","B01",45.5567089,-84.7267245,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",5.24944423557918,"Populus","live","E"
"72","POGR",212,1688,"UMBS",28,"L","OD","07/04/2018","","B01E","B","B01",45.5566288,-84.7265723,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",5.29234668193511,"Populus","live","E"
"73","ACRU",212,1727,"UMBS",25.1,"L","OS","07/04/2018","1726-1727 share base","B01E","B","B01",45.5567549,-84.726724,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",5.33588379442526,"Acer","live","E"
"74","ACRU",212,1668,"UMBS",25.1,"L","OD","07/04/2018","1665-1668 share base","B01E","B","B01",45.5567089,-84.7265098,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",5.33588379442526,"Acer","live","E"
"75","ACRU",212,1710,"UMBS",25.5,"L","OD","07/04/2018","1709-1710 share base","B01E","B","B01",45.5566987,-84.726801,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",5.46739825313366,"Acer","live","E"
"76","ACRU",212,1672,"UMBS",25.8,"L","OD","07/04/2018","1670-1672 share base","B01E","B","B01",45.5567061,-84.7263945,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",5.56676872954928,"Acer","live","E"
"77","ACRU",212,1685,"UMBS",27.2,"L","OS","07/04/2018","1684-1685 share base","B01E","B","B01",45.5565555,-84.7265609,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",6.03872071011755,"Acer","live","E"
"78","ACRU",212,1665,"UMBS",27.4,"L","OD","07/04/2018","1665-1668 share base","B01E","B","B01",45.5566962,-84.7264939,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",6.107235942722,"Acer","live","E"
"79","POGR",212,1740,"UMBS",31.8,"L","OD","07/04/2018","","B01E","B","B01",45.5567388,-84.7266857,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",7.06944731292249,"Populus","live","E"
"80","POGR",212,1719,"UMBS",32.8,"L","OD","07/04/2018","","B01E","B","B01",45.5567213,-84.7266721,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",7.58536980613348,"Populus","live","E"
"81","QURU",212,1689,"UMBS",32.5,"L","OD","07/04/2018","","B01E","B","B01",45.5566387,-84.7265721,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",7.60381474815658,"Quercus","live","E"
"82","POGR",212,1698,"UMBS",33.8,"L","OD","07/04/2018","","B01E","B","B01",45.5565779,-84.7266473,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",8.12174327110122,"Populus","live","E"
"83","POGR",212,1712,"UMBS",34.3,"L","OD","07/04/2018","","B01E","B","B01",45.5567019,-84.7267451,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",8.39765226707492,"Populus","live","E"
"84","POGR",213,1697,"UMBS",35.8,"L","OD","07/04/2018","in new plot 213","B01E","B","B01",45.5564781,-84.7266016,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",9.25651799540504,"Populus","live","E"
"85","POGR",212,1705,"UMBS",36,"D","UN","07/04/2018","","B01E","B","B01",45.5566313,-84.7267011,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",9.37458288889794,"Populus","live","E"
"86","POGR",212,1675,"UMBS",36.4,"L","OD","07/04/2018","","B01E","B","B01",45.5566851,-84.7263581,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",9.61323174585104,"Populus","live","E"
"87","POGR",212,1695,"UMBS",39,"L","OD","07/04/2018","","B01E","B","B01",45.5565983,-84.7265969,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",11.2469753977903,"Populus","live","E"
"88","POGR",212,1702,"UMBS",39,"L","OD","07/04/2018","","B01E","B","B01",45.5565901,-84.7266187,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",11.2469753977903,"Populus","live","E"
"89","POGR",212,1721,"UMBS",39,"L","OD","07/04/2018","","B01E","B","B01",45.5567387,-84.7267147,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",11.2469753977903,"Populus","live","E"
"90","POGR",212,1715,"UMBS",40.2,"L","OD","07/04/2018","","B01E","B","B01",45.5567073,-84.7266914,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",12.0497499547109,"Populus","live","E"
"91","POGR",212,1664,"UMBS",40.4,"L","OD","07/04/2018","","B01E","B","B01",45.5567145,-84.7264828,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",12.1865666987589,"Populus","live","E"
"92","POGR",212,1696,"UMBS",45.8,"L","OD","07/04/2018","","B01E","B","B01",45.5565581,-84.7266142,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",16.2118555932324,"Populus","live","E"
"93","POGR",212,1704,"UMBS",47.4,"L","OD","07/04/2018","","B01E","B","B01",45.5566464,-84.7266016,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",17.5290948686523,"Populus","live","E"
"94","QURU",212,1681,"UMBS",62.2,"L","OD","07/04/2018","stem is too wide for calipers--recorded DBH is under true DBH. DBH taken manually as 64.8","B01E","B","B01",45.556571,-84.7264887,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",19.5526779493107,"Quercus","live","E"
"95","ACRU",211,1633,"UMBS",49.1,"L","OD","07/03/2018","","B01W","B","B01",45.5566597,-84.7271815,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",14.9959619459992,"Acer","live","W"
"96","POGR",211,1582,"UMBS",41.9,"L","OD","07/03/2018","","B01W","B","B01",45.5566293,-84.7270354,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",13.2403866107408,"Populus","live","W"
"97","POGR",211,1568,"UMBS",41.3,"L","OD","07/03/2018","","B01W","B","B01",45.556663,-84.7270579,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",12.8129795110761,"Populus","live","W"
"98","POGR",211,1614,"UMBS",40.9,"L","OD","07/03/2018","","B01W","B","B01",45.5566074,-84.7271237,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",12.5324012105587,"Populus","live","W"
"99","POGR",211,1590,"UMBS",40.7,"L","OD","07/03/2018","","B01W","B","B01",45.5565596,-84.7270061,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",12.3934165018445,"Populus","live","W"
"100","POGR",211,1567,"UMBS",40.2,"L","OD","07/03/2018","NE veg plot, 1567 + 1593 share base","B01W","B","B01",45.5566913,-84.7270131,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",12.0497499547109,"Populus","live","W"
"101","POGR",208,1620,"UMBS",40,"L","OD","07/03/2018","in new plot 208","B01W","B","B01",45.5565373,-84.7272344,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",11.913798332605,"Populus","live","W"
"102","POGR",211,1596,"UMBS",39.6,"L","OD","07/03/2018","","B01W","B","B01",45.5565912,-84.7270519,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",11.6444857068383,"Populus","live","W"
"103","ACRU",211,1634,"UMBS",40.5,"L","OD","07/03/2018","","B01W","B","B01",45.5566663,-84.7271743,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",11.1478102423787,"Acer","live","W"
"104","POGR",211,1576,"UMBS",38.7,"L","OD","07/03/2018","","B01W","B","B01",45.5566718,-84.7269184,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",11.0511178319466,"Populus","live","W"
"105","POGR",211,1604,"UMBS",38.6,"L","OD","07/03/2018","1604-1605 share base","B01W","B","B01",45.5565209,-84.7270805,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",10.9862602403155,"Populus","live","W"
"106","POGR",211,1585,"UMBS",38.6,"L","OD","07/03/2018","","B01W","B","B01",45.5565601,-84.7269489,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",10.9862602403155,"Populus","live","W"
"107","POGR",208,1605,"UMBS",38.3,"L","OD","07/03/2018","1604-1605 share base, 1605 in new plot 208","B01W","B","B01",45.5565248,-84.7271475,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",10.7929701251194,"Populus","live","W"
"108","QURU",210,1642,"UMBS",39.9,"L","OD","07/03/2018","in new plot 210","B01W","B","B01",45.5566637,-84.7272873,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",10.2484172927058,"Quercus","live","W"
"109","POGR",211,1619,"UMBS",37.4,"L","OD","07/03/2018","","B01W","B","B01",45.5565198,-84.7272283,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",10.2246078241275,"Populus","live","W"
"110","POGR",211,1632,"UMBS",36.7,"L","OD","07/03/2018","","B01W","B","B01",45.5566454,-84.7271199,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",9.79442760078807,"Populus","live","W"
"111","POGR",211,1626,"UMBS",36.6,"L","OD","07/03/2018","","B01W","B","B01",45.5565238,-84.7272357,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",9.73381826347335,"Populus","live","W"
"112","POGR",211,1599,"UMBS",36.1,"L","OD","07/03/2018","","B01W","B","B01",45.5565728,-84.7270513,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",9.43392997933757,"Populus","live","W"
"113","POGR",211,1609,"UMBS",35.7,"L","OD","07/03/2018","","B01W","B","B01",45.5565514,-84.727137,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",9.19779987115171,"Populus","live","W"
"114","ACRU",211,1624,"UMBS",34.7,"L","OS","07/03/2018","1622-1624 share plot","B01W","B","B01",45.5565468,-84.7271986,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",8.78650626409316,"Acer","live","W"
"115","POGR",211,1616,"UMBS",34.7,"L","OD","07/03/2018","","B01W","B","B01",45.5565083,-84.7271475,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",8.62210523664304,"Populus","live","W"
"116","POGR",211,1589,"UMBS",33.2,"L","OD","07/03/2018","","B01W","B","B01",45.5565361,-84.7270494,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",7.79745549396107,"Populus","live","W"
"117","ACRU",211,1601,"UMBS",30.3,"L","OD","07/03/2018","1600-1601 share base","B01W","B","B01",45.5565115,-84.727072,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",7.13067232306849,"Acer","live","W"
